,gene,AVG TPM AD,AVG TPM NCI,AVG TPM all,AVG BTPM AD,AVG BTPM NCI,AVG BTPM all,STD TPM AD,STD TPM NCI,STD TPM all,STD BTPM AD,STD BTPM NCI,STD BTPM all,B,MIN TPM AD,MIN TPM NCI,MIN TPM all,MAX TPM AD,MAX TPM NCI,MAX TPM all
0,ENSG00000079482.12,77.55914484883355,30.566363778572303,54.79643579920359,30.981699744310685,12.210009621803394,21.888930367891426,119.76026812995757,38.932665298240494,92.6689271025817,47.839318957579856,15.552004201010366,37.0174385072888,0.399459016789,2.39670535222,0.636022384845,0.636022384845,918.081706329,299.701308696,918.081706329
1,ENSG00000169021.5,10.423946059920992,10.673654770576725,10.534654390107134,3.879194448602877,3.972121698856784,3.920393735073037,3.9213464493906844,3.972117312496284,3.942260772876886,1.4593000855992768,1.4781940868899464,1.4670831964382611,0.372142605718,2.299900804,0.0,0.0,22.3616846206,20.9415729393,22.3616846206
2,ENSG00000204160.11,81.74806931562922,37.71636327415219,60.13956853970106,29.15538790457848,13.451512810195114,21.448732231450286,97.73062392307781,21.496355368095227,74.54328154582171,34.85555407593028,7.66665909713002,26.585805724137426,0.356649253599,7.5274279884,4.33946470767,4.33946470767,625.797208012,160.584547625,625.797208012
3,ENSG00000106780.8,21.61002212708546,9.03857135818148,15.425323516671131,6.7319699080434265,2.815702364261642,4.805308070735878,24.922023454747944,3.703033684135536,19.016376017667028,7.763726985481959,1.1535717632989644,5.923995373911208,0.311520731837,1.35993763481,0.836062309373,0.836062309373,151.685904759,17.0430559394,151.685904759
4,ENSG00000113303.11,7.135283734852819,4.009295426740613,5.5929451632020575,2.1526472266775585,1.209566290846628,1.687338351482517,8.437838793634217,3.7603928919454312,6.74516331936658,2.545615697039086,1.134474763845016,2.034951608441002,0.301690487256,0.0,0.0,0.0,61.4933664611,19.6917518759,61.4933664611
5,ENSG00000163162.8,37.53593616265577,13.542638031597823,25.753067405674937,11.216038386748771,4.046648719830357,7.695222821855468,48.842648280617944,6.337114187046367,37.0718764860828,14.594574533907664,1.8935804791206083,11.07737363828932,0.29880800996,4.01119107875,0.0,0.0,289.100584769,31.6030983087,289.100584769
6,ENSG00000121716.18,9.614075236175204,8.921155484699907,9.26424493204381,2.8054540868673667,2.6032552792968886,2.703371168611995,8.170210879831451,6.290035459844621,7.299524308706464,2.384124415538708,1.8354761382522808,2.130052012386295,0.291806961975,0.0,0.0,0.0,77.7746828065,39.4235980803,77.7746828065
7,ENSG00000064547.13,12.999509974632085,9.68237577518948,11.428819008264462,3.7541255939760005,2.7961711463789847,3.3005260991816225,12.259842690344387,9.611227850138635,11.177460618287448,3.540517243477407,2.7756243529296243,3.2279363656520697,0.288789777561,0.0,0.0,0.0,103.345061501,72.5466279921,103.345061501
8,ENSG00000133816.13,75.06260817398537,60.15776733297485,67.66059154966878,21.50841580037607,17.237587460601098,19.387444318169123,46.34876227470231,31.339377838899054,40.33858919596846,13.280759556428197,8.979975328351872,11.558606479759124,0.286539680989,3.74387752236,6.05600236725,3.74387752236,289.800311651,170.873465371,289.800311651
9,ENSG00000161905.12,9.971997361944318,4.521951008032565,7.306358764486227,2.84540535539394,1.290291518145383,2.0847932066485284,25.648099133014608,4.206211648975198,18.70367682523658,7.318417362128654,1.200198587856509,5.336898945359234,0.285339561586,0.0,0.0,0.0,319.818104111,29.4974636699,319.818104111
10,ENSG00000099246.16,52.87359412390037,43.140691444574315,48.027617703701225,14.740975045969792,12.027475464598526,13.38993359196689,27.70200523420902,22.70344318659075,25.808954964822163,7.72322318251885,6.329641383691115,7.195447319270241,0.278796538995,6.06266618136,0.0,0.0,143.644819468,140.1200993,143.644819468
11,ENSG00000162704.15,717.2856469165698,474.8967178387935,599.1370907257993,195.93606666419421,129.72432302955562,163.66222502023098,268.60543820215725,191.82741611034447,263.23631602002865,73.37313003847757,52.40019726114544,71.90648326208094,0.273163233513,182.058833436,123.61576509,123.61576509,1773.66282481,1170.62890348,1773.66282481
12,ENSG00000163563.7,257.1230588107867,145.28924960106488,202.04269076825116,69.71100608334008,39.39070968441222,54.77765903370268,190.61712357672735,70.83614196862074,155.0480798551276,51.679968038279156,19.205040366794606,42.03651624238364,0.271119231413,20.6260178581,18.5406477411,18.5406477411,1183.50100708,433.322344551,1183.50100708
13,ENSG00000138434.16,133.64518748056224,137.7283719016836,135.71607315250435,35.34746818717831,36.42741901929458,35.89519135468034,65.15560551992189,93.31870659495081,79.98706059245087,17.232836713007313,24.681622098165004,21.15556970645709,0.264487400209,22.6399680384,37.4013392224,22.6399680384,371.738483122,623.414601737,623.414601737
14,ENSG00000149657.19,32.012988555895866,34.512930633226794,33.30433843185031,8.359175071543845,9.011955534593726,8.696370072031595,16.233531261493482,17.596627289383676,16.955803846457293,4.238871032214585,4.59480026127001,4.427469574851338,0.261118235086,8.76895577895,7.12702852543,7.12702852543,79.9612098395,90.785446051,90.785446051
15,ENSG00000151651.15,37.621188879932184,10.815437763681278,24.457265196809608,9.78206863736298,2.812174673296729,6.359252696689676,55.05496714891965,8.736547377958471,41.895586304982544,14.315110274618915,2.2716322542999174,10.893475539698109,0.260014872698,1.00017571762,0.0,0.0,302.853250871,48.4764130552,302.853250871
16,ENSG00000159399.9,8.850439820078508,8.179446667628033,8.524176927322838,2.100110512785933,1.940891332483534,2.022691972584837,5.110788704622319,4.439368709212122,4.791547530778779,1.2127330737682736,1.0534126083992281,1.1369807090347215,0.237288830327,0.805463959323,0.0,0.0,34.7576121009,31.2672060508,34.7576121009
17,ENSG00000006831.9,23.1386924823814,19.588832850149032,21.414976232419495,5.286996355587669,4.475883326934429,4.893141709800963,11.825702149760096,9.190122728949783,10.736900359921819,2.702073343844024,2.0998656433312988,2.4532913048755085,0.228491577889,6.55486167502,3.40183122379,3.40183122379,76.4113325289,52.0715724917,76.4113325289
18,ENSG00000073711.10,1.2029626516174692,1.3808920966283051,1.2870735578486983,0.2727730873312624,0.31311878216849265,0.29184532663983437,1.4202540476114305,1.6563973459523613,1.5393763739797377,0.3220441472898557,0.3755898965734552,0.34905526412700416,0.226751085717,0.0,0.0,0.0,11.8800431986,12.0133624766,12.0133624766
19,ENSG00000134330.18,33.92157426486481,37.67878800275067,35.74546292538582,7.61489770909565,8.458337287159223,8.024334059961966,14.779986054627894,16.997842124086667,15.970619751232604,3.317890881745613,3.8157671586706043,3.585170747292367,0.224485386487,5.40184066775,4.62785370908,4.62785370908,80.8109531888,113.637753333,113.637753333
20,ENSG00000153283.12,10.605012138393386,8.326845357339199,9.48212957520045,2.241853612937409,1.7602590270632195,2.004481104698124,6.494052550590288,5.72040912604767,6.21607256502095,1.372814569484483,1.2092697018499525,1.3140508050643775,0.211395666849,0.686746594743,0.0,0.0,38.835660601,34.5950506111,38.835660601
21,ENSG00000169429.10,135.4347045626049,8.111076578788085,72.88244667454582,27.844654574389264,1.6675941834271413,14.98424320961978,368.88699657519857,8.447506681786734,270.461451249938,75.84120355113477,1.7367624223706044,55.60543518047379,0.205594678737,0.0,0.0,0.0,2746.2338034,70.7785818391,2746.2338034
22,ENSG00000198873.11,69.01346281030578,50.84796734180122,60.18936994011744,14.17132716461758,10.441197289825753,12.35937480195864,34.70159243273275,19.491567384534434,29.66542634656009,7.125676635719224,4.002427455591733,6.091542796374375,0.205341488277,19.2233049912,17.445575096,17.445575096,190.445203503,134.324704581,190.445203503
23,ENSG00000152291.13,88.50005737863486,52.405427357953364,70.94105843215243,17.888486061175666,10.592690949475214,14.33929166282064,48.716449244986535,27.730474107718933,43.68510822528145,9.847039076375749,5.605151163048598,8.830055852116917,0.202129654952,19.3544818052,10.9988322537,10.9988322537,348.947002784,176.487884507,348.947002784
